algorithm,workfactor,timeinmilliseconds
BCRYPT,4,0
BCRYPT,5,1
BCRYPT,6,3
BCRYPT,7,6
BCRYPT,8,13
BCRYPT,9,27
BCRYPT,10,53
BCRYPT,11,106
BCRYPT,12,219
BCRYPT,13,434
BCRYPT,14,868
BCRYPT,15,1744
BCRYPT,16,3502
SCRYPT,1024,5
SCRYPT,2048,11
SCRYPT,4096,30
SCRYPT,8192,48
SCRYPT,16384,115
SCRYPT,32768,200
SCRYPT,65536,431
SCRYPT,131072,847
SCRYPT,262144,1762
SCRYPT,524288,3463
PBKDF2,10000,35
PBKDF2,20000,66
PBKDF2,40000,132
PBKDF2,80000,278
PBKDF2,160000,555
PBKDF2,320000,1104
PBKDF2,640000,2194
ARGON2,100,19
ARGON2,200,37
ARGON2,400,77
ARGON2,800,155
ARGON2,1600,319
ARGON2,3200,687
ARGON2,6400,1237
ARGON2,12800,2635
