algorithm,workfactor,timeinmilliseconds
BCRYPT,4,1
BCRYPT,5,2
BCRYPT,6,4
BCRYPT,7,8
BCRYPT,8,17
BCRYPT,9,35
BCRYPT,10,71
BCRYPT,11,143
BCRYPT,12,289
BCRYPT,13,576
BCRYPT,14,1155
BCRYPT,15,2312
BCRYPT,16,4617
BCRYPT,17,9237
SCRYPT,1024,7
SCRYPT,2048,16
SCRYPT,4096,36
SCRYPT,8192,61
SCRYPT,16384,138
SCRYPT,32768,246
SCRYPT,65536,533
SCRYPT,131072,1063
SCRYPT,262144,2065
SCRYPT,524288,4228
SCRYPT,1048576,8438
PBKDF2,10000,40
PBKDF2,20000,80
PBKDF2,40000,161
PBKDF2,80000,322
PBKDF2,160000,645
PBKDF2,320000,1309
PBKDF2,640000,2596
PBKDF2,1280000,5174
PBKDF2,2560000,10440
ARGON2,100,31
ARGON2,200,60
ARGON2,400,120
ARGON2,800,239
ARGON2,1600,474
ARGON2,3200,967
ARGON2,6400,1974
ARGON2,12800,3914
ARGON2,25600,7982
